Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
C132, INSTALLED,1
C133, SUPER_SHORT,0
C134, INSTALLED,1
C135, INSTALLED,1
C136, INSTALLED,1
C137, OFFSET,1
C138, INSTALLED,1
C139, OFFSET,1
C140, OFFSET,1
C141, INSTALLED,1
C142, INSTALLED,1
C143, OFFSET,1
C144, INSTALLED,1
C145, SUPER_SHORT,0
C146, OFFSET,1
C147, INSTALLED,1
C148, INSTALLED,1
C149, INSTALLED,1
C150, SUPER_SHORT,0
C151, INSTALLED,1
C152, INSTALLED,1
C153, INSTALLED,1
C154, INSTALLED,1
C155, INSTALLED,1
C156, SUPER_SHORT,0
C157, OFFSET,1
C158, INSTALLED,1
C159, INSTALLED,1
C160, INSTALLED,1
C161, INSTALLED,1
C162, INSTALLED,1
C163, INSTALLED,1
C164, INSTALLED,1
C165, INSTALLED,1
C166, OFFSET,1
C167, INSTALLED,1
C168, SUPER_SHORT,0
C169, INSTALLED,1
C170, INSTALLED,1
C171, INSTALLED,1
C172, INSTALLED,1
C173, OFFSET,1
C174, SUPER_SHORT,0
C175, INSTALLED,1
C176, INSTALLED,1
C177, INSTALLED,1
C178, INSTALLED,1
C179, INSTALLED,1
C180, INSTALLED,1
C181, INSTALLED,1
C182, INSTALLED,1
C183, SUPER_SHORT,0
C184, INSTALLED,1
C185, INSTALLED,1
C186, INSTALLED,1
C187, INSTALLED,1
C188, INSTALLED,1
C189, SUPER_SHORT,0
C190, INSTALLED,1
C191, INSTALLED,1
C192, INSTALLED,1
C193, INSTALLED,1
C194, INSTALLED,1
C195, INSTALLED,1
C196, INSTALLED,1
C197, OFFSET,1
C198, INSTALLED,1
C199, OFFSET,1
C200, INSTALLED,1
C201, INSTALLED,1
C202, INSTALLED,1
C203, SUPER_SHORT,0
C204, OFFSET,1
C205, OFFSET,1
C206, INSTALLED,1
C207, INSTALLED,1
C208, INSTALLED,1
C209, INSTALLED,1
C210, INSTALLED,1
C211, INSTALLED,1
C212, SUPER_SHORT,0
C213, INSTALLED,1
C214, OFFSET,1
C215, INSTALLED,1
C216, INSTALLED,1
C217, OFFSET,1
C218, INSTALLED,1
C219, INSTALLED,1
C220, OFFSET,1
C221, INSTALLED,1
C222, INSTALLED,1
C223, INSTALLED,1
C224, OFFSET,1
C225, INSTALLED,1
C226, OFFSET,1
C227, INSTALLED,1
C228, INSTALLED,1
C229, INSTALLED,1
C230, INSTALLED,1
C231, SUPER_SHORT,0
C232, INSTALLED,1
C233, INSTALLED,1
C234, INSTALLED,1
C235, INSTALLED,1
C236, INSTALLED,1
C237, OFFSET,1
C238, OFFSET,1
C239, INSTALLED,1
C240, INSTALLED,1
C241, OFFSET,1
C242, INSTALLED,1
C243, SUPER_SHORT,0
C244, INSTALLED,1
C245, INSTALLED,1
C246, INSTALLED,1
C247, OFFSET,1
C248, INSTALLED,1
C249, INSTALLED,1
C250, INSTALLED,1
C251, INSTALLED,1
C252, SUPER_SHORT,0
C253, INSTALLED,1
C254, INSTALLED,1
C255, INSTALLED,1
C256, OFFSET,1
C257, INSTALLED,1
C258, INSTALLED,1
C259, INSTALLED,1
C260, OFFSET,1
C261, SUPER_SHORT,0
C262, OFFSET,1
C263, SUPER_SHORT,0
C264, INSTALLED,1
C265, INSTALLED,1
C266, INSTALLED,1
C267, INSTALLED,1
C268, INSTALLED,1
C269, OFFSET,1
C270, OFFSET,1
C271, OFFSET,1
C272, INSTALLED,1
C273, INSTALLED,1
C274, OFFSET,1
C275, INSTALLED,1
D1, INSTALLED,0.5
D2, INSTALLED,0.5
D3, INSTALLED,0.5
D4, BLOCKED,0
D5, OFFSET,1
D6, INSTALLED,0.5
D7, INSTALLED,1
D8, INSTALLED,1
D9, INSTALLED,1
D10, BLOCKED,1
D11, OFFSET,1
D12, INSTALLED,1
D13, INSTALLED,1
D14, INSTALLED,1
D15, INSTALLED,1
D16, INSTALLED,1
D17, INSTALLED,1
D18, INSTALLED,1
D19, INSTALLED,1
D20, INSTALLED,0.5
D21, INSTALLED,0.5
D22, INSTALLED,0.5
D23, INSTALLED,0.5
D24, INSTALLED,0.5
D25, INSTALLED,1
D26, INSTALLED,1
D27, INSTALLED,1
D28, INSTALLED,1
D29, INSTALLED,1
D30, INSTALLED,1
D31, INSTALLED,1
D32, INSTALLED,1
D33, INSTALLED,1
D34, SUPER_SHORT,0
D35, SUPER_SHORT,0
D36, OFFSET,1
D37, INSTALLED,1
D38, OFFSET,1
D39, INSTALLED,0.5
D40, INSTALLED,0.5
D41, INSTALLED,1
D42, INSTALLED,0.5
D43, INSTALLED,0.5
D44, INSTALLED,1
D45, INSTALLED,1
D46, INSTALLED,1
D47, INSTALLED,1
D48, INSTALLED,1
D49, INSTALLED,1
D50, INSTALLED,1
D51, INSTALLED,1
D52, INSTALLED,1
D53, INSTALLED,1
D54, INSTALLED,1
D55, INSTALLED,1
D56, OFFSET,1
D57, OFFSET,1
D58, SUPER_SHORT,0
D59, OFFSET,1
D60, INSTALLED,1
D61, INSTALLED,0.5
D62, INSTALLED,0.5
D63, INSTALLED,1
D64, SUPER_SHORT,0
D65, SUPER_SHORT,0
D66, OFFSET,1
D67, INSTALLED,1
D68, INSTALLED,1
D69, INSTALLED,1
D70, SUPER_SHORT,0
D71, SUPER_SHORT,0
D72, OFFSET,1
D73, INSTALLED,1
D74, INSTALLED,1
D75, INSTALLED,1
D76, INSTALLED,1
D77, INSTALLED,1
D78, INSTALLED,0.5
D79, INSTALLED,1
D80, INSTALLED,0.5
D81, INSTALLED,0.5
D82, INSTALLED,1
D83, INSTALLED,1
D84, INSTALLED,1
D85, INSTALLED,1
D86, INSTALLED,1
D87, INSTALLED,1
D88, INSTALLED,1
D89, INSTALLED,1
D90, INSTALLED,1
D91, INSTALLED,1
D92, INSTALLED,1
D93, INSTALLED,1
D94, INSTALLED,1
D95, INSTALLED,1
D96, INSTALLED,1
D97, INSTALLED,0.5
D98, INSTALLED,0.5
D99, SUPER_SHORT,0
D100, SUPER_SHORT,0
D101, OFFSET,1
D102, INSTALLED,1
D103, INSTALLED,1
D104, INSTALLED,1
D105, SUPER_SHORT,0
D106, SUPER_SHORT,0
D107, OFFSET,1
D108, INSTALLED,1
D109, INSTALLED,1
D110, INSTALLED,1
D111, SUPER_SHORT,0
D112, SUPER_SHORT,0
D113, SUPER_SHORT,0
D114, INSTALLED,0.5
D115, INSTALLED,0.5
D116, INSTALLED,1
D117, INSTALLED,1
D118, INSTALLED,1
D119, INSTALLED,1
D120, INSTALLED,1
D121, INSTALLED,1
D122, INSTALLED,1
D123, INSTALLED,1
D124, INSTALLED,1
D125, INSTALLED,1
D126, INSTALLED,1
D127, INSTALLED,1
D128, INSTALLED,1
D129, INSTALLED,1
D130, SUPER_SHORT,0
D131, OFFSET,1
D132, INSTALLED,1
